Serie (carga);;;Serie (descarga);
tc;Vc;;td;Vd
10;5,5;;10;5,61
20;5,03;;20;4,91
30;4,86;;30;4,31
40;4,59;;40;4,07
50;4,3;;50;3,8
60;4,05;;60;3,57
70;3,87;;70;3,34
80;3,55;;80;3,17
90;3,35;;90;2,98
100;3,15;;100;2,78
110;2,96;;110;2,62
120;2,76;;120;2,46
130;2,61;;130;2,31
140;2,45;;140;2,18
150;2,31;;150;2,03
160;2,18;;160;1,92
170;2,05;;170;1,8
180;1,93;;180;1,7
190;1,81;;190;1,6
200;1,7;;200;1,5
210;1,6;;210;1,41
220;1,51;;220;1,33
230;1,42;;230;1,24
240;1,34;;240;1,17
250;1,26;;250;1,1
260;1,19;;260;1,04
270;1,12;;270;0,97
